AÑO,DEPTO,POBL_EDAD_TRAB,TO,TD,IND_POBR_MON,INFLACION
2018,QUINDIO,81.45142076037071,55.69324846856964,14.116240937197494,24.1,3.18
2018,RISARALDA,82.09658336476312,58.666309210046045,7.648397981403072,17.7,3.18
2018,SANTANDER,82.00633622149228,63.599239014171076,7.665212263052587,20.1,3.18
2018,SUCRE,78.45764785425904,56.6054324590226,9.141484237412673,41.0,3.18
2018,TOLIMA,79.99050668123999,57.96181091755575,12.837116808905575,31.0,3.18
2018,VALLE DEL CAUCA,82.05064697449906,58.57952533311193,11.283315830855432,20.4,3.18
2017,ANTIOQUIA,81.45606618130724,56.752387699061536,10.221160699418618,21.3,4.09
2017,ATLANTICO,79.67720488887089,58.21985885599383,7.365290357375126,24.3,4.09
2017,BOGOTA DC,82.0792306720273,62.31636718600687,10.51024213899316,12.4,4.09
2017,BOLIVAR,78.02111341543174,54.933956186528775,6.360653468651662,38.2,4.09
2017,BOYACA,80.97841584978362,54.612410841517146,7.495097398352726,28.7,4.09
2017,CALDAS,81.89595984139005,50.86772235346837,9.226754071854446,26.7,4.09
2017,CAQUETA,75.71732037147005,53.03526431391572,8.203771859854369,35.1,4.09
2017,CAUCA,80.06946417723692,55.44014721826672,8.344961952725802,48.7,4.09
2017,CESAR,76.18325291678097,52.98403877543392,10.936619674060793,40.7,4.09
2017,CHOCO,72.47200263504612,45.72288863278524,9.804518019244009,58.7,4.09
2017,CORDOBA,77.51463108115392,56.586739783941965,9.05548954791958,45.8,4.09
2017,CUNDINAMARCA,80.07367435274105,64.89144172701178,7.97404894559505,14.7,4.09
2017,HUILA,78.63422568024967,56.99536229765149,8.741782954676507,35.7,4.09
2017,LA GUAJIRA,72.63751387084417,64.54508757646886,6.524644567487397,52.6,4.09
2017,MAGDALENA,75.44669009389303,52.882115837329906,7.3917440138683235,48.5,4.09
2017,META,78.27688152383317,56.68792091474325,12.165704880322052,25.1,4.09
2017,NARIÑO,79.87233887818208,65.22979448840627,6.808257284662184,40.2,4.09
2017,NORTE DE SANTANDER,79.04286242415895,51.95273380899104,12.383616983104744,40.0,4.09
2017,QUINDIO,81.33750776146292,55.869988280452006,13.514638083983819,26.4,4.09
2017,RISARALDA,81.96653184793776,58.493060396729824,7.801545964369698,16.3,4.09
2017,SANTANDER,81.8401998715002,63.24520285160153,6.7987754226141845,18.9,4.09
2017,SUCRE,78.27359601861265,54.30813816641167,9.119667167228775,41.6,4.09
2017,TOLIMA,79.83785260984423,59.91744199313816,10.118987597055561,29.1,4.09
2017,VALLE DEL CAUCA,81.92721620008015,58.872435193320186,11.453715292805702,21.1,4.09
2016,ANTIOQUIA,81.36165252120213,56.34940443153121,9.618901983758633,21.9,5.75
2016,ATLANTICO,79.42223809330619,58.80380473786667,7.622927895860879,25.0,5.75
2016,BOGOTA DC,81.90522820703468,64.18645319543745,9.286723087330401,11.6,5.75
2016,BOLIVAR,77.79481664472141,55.21825045857555,6.772264144382238,41.0,5.75
2016,BOYACA,80.69602500557461,55.43190341559142,6.9528577334084165,32.0,5.75
2016,CALDAS,81.73155502757263,50.57756530208162,9.281863244983196,27.6,5.75
2016,CAQUETA,75.4820242019655,55.11259090510821,7.637525008718635,35.8,5.75
